"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"nieder";"Breite";"Lange"
"AACH,KR.KONSTANZ";478;"47°50'";"08°51'";777.9;47.83;8.85
"AACHEN (KLAERANLAGE)";138;"50°48'";"06°06'";787.5;50.8;6.1
"AACHEN (WEWA)";205;"50°47'";"06°05'";828.3;50.78;6.08
"AACHEN-BRAND";243;"50°45'";"06°10'";872.8;50.75;6.17
"AALEN-UNTERKOCHEN";473;"48°48'";"10°07'";930.7;48.8;10.12
"AARBERGEN-PANROD";307;"50°15'";"08°07'";652.9;50.25;8.12
"ABBACH,BAD-DUENZLING";378;"48°53'";"12°06'";691.3;48.88;12.1
"ABBENSEN";61;"52°22'";"10°11'";644.6;52.37;10.18
"ABENBERG";390;"49°14'";"10°58'";664.0;49.23;10.97
"ABENBERG-WASSERMUNGENAU";370;"49°13'";"10°53'";689.4;49.22;10.88
"ABENSBERG-SANDHARLANDEN";380;"48°50'";"11°49'";740.1;48.83;11.82
"ABTSGMUEND";370;"48°53'";"10°00'";827.6;48.88;10
"ABTSGMUEND-UNTERGROENING";435;"48°55'";"09°54'";936.6;48.92;9.9
"ACHBERG-ESSERATSWEILER";523;"47°36'";"09°42'";1339.9;47.6;9.7
"ACHERN-FAUTENBACH";138;"48°37'";"08°02'";989.9;48.62;8.03
"ACHIM";28;"53°01'";"09°02'";724.4;53.02;9.03
"ADELBERG";474;"48°46'";"09°36'";1045.0;48.77;9.6
"ADELHEIDSDORF";41;"52°33'";"10°03'";685.9;52.55;10.05
"ADELHOLZEN,BAD";657;"47°49'";"12°37'";1694.6;47.82;12.62
"ADELMANNSFELDEN";470;"48°57'";"10°00'";927.5;48.95;10
"ADELSDORF";268;"49°42'";"10°54'";669.3;49.7;10.9
"ADELSHEIM";260;"49°24'";"09°23'";809.4;49.4;9.38
"ADENDORF";25;"53°17'";"10°26'";668.6;53.28;10.43
"ADENSTEDT";194;"52°00'";"09°56'";738.8;52;9.93
"ADERSTEDT";93;"52°01'";"11°00'";521.3;52.02;11
"ADORF";480;"50°18'";"12°11'";718.9;50.3;12.18
"AERZEN-REHER";115;"52°01'";"09°14'";1002.4;52.02;9.23
"AFFING";470;"48°27'";"10°58'";758.0;48.45;10.97
"AHAUS";52;"52°05'";"07°00'";832.8;52.08;7
"AHLBECK";5;"53°40'";"14°11'";584.7;53.67;14.18
"AHLDEN";23;"52°45'";"09°33'";654.1;52.75;9.55
"AHLEN I.W.";70;"51°46'";"07°52'";761.4;51.77;7.87
"AHLEN(FALKENBERGER MOOR)";3;"53°42'";"08°47'";819.9;53.7;8.78
"AHNATAL-WEIMAR";298;"51°22'";"09°24'";680.2;51.37;9.4
"AHOLFING";325;"48°56'";"12°28'";678.3;48.93;12.47
"AHORN-EUBIGHEIM";338;"49°29'";"09°32'";732.5;49.48;9.53
"AHORNTAL-KIRCHAHORN";410;"49°50'";"11°24'";714.6;49.83;11.4
"AHRENSBOEK";60;"54°01'";"10°34'";738.6;54.02;10.57
"AHRENSBURG-WULFSDORF";46;"53°39'";"10°12'";791.5;53.65;10.2
"AHRENSFELDE";60;"52°35'";"13°33'";587.4;52.58;13.55
"AHRENSHOEFT";5;"54°34'";"09°04'";823.8;54.57;9.07
"AIBLING,BAD";490;"47°51'";"12°01'";1089.5;47.85;12.02
"AICHACH";444;"48°27'";"11°08'";916.9;48.45;11.13
"AIGLSBACH";405;"48°41'";"11°42'";779.3;48.68;11.7
"AISLINGEN";460;"48°30'";"10°27'";801.4;48.5;10.45
"AITERN-UNTERMULTEN";1018;"47°49'";"07°51'";1873.9;47.82;7.85
"AITRANG";747;"47°49'";"10°32'";1257.3;47.82;10.53
"AKEN/ELBE";55;"51°51'";"12°03'";510.0;51.85;12.05
"ALBACHING";513;"48°06'";"12°06'";1039.0;48.1;12.1
"ALBERSDORF";40;"54°09'";"09°17'";929.6;54.15;9.28
"ALBERSRIETH";511;"49°40'";"12°18'";755.2;49.67;12.3
"ALBRECHTSHAIN";128;"51°18'";"12°34'";577.3;51.3;12.57
"ALBSTADT-BURGFELDEN";911;"48°14'";"08°56'";1020.0;48.23;8.93
"ALBSTADT-EBINGEN";712;"48°12'";"09°02'";887.8;48.2;9.03
"ALBSTADT-LAUTLINGEN";698;"48°12'";"08°57'";912.8;48.2;8.95
"ALBSTADT-ONSTMETTINGEN";794;"48°16'";"09°00'";1057.8;48.27;9
"ALDERSBACH";325;"48°35'";"13°05'";803.0;48.58;13.08
"ALFDORF";486;"48°50'";"09°43'";1043.9;48.83;9.72
"ALFELD/LEINE";90;"51°59'";"09°49'";720.1;51.98;9.82
"ALFHAUSEN";65;"52°29'";"07°54'";747.4;52.48;7.9
"ALFTER-VOLMERSHOVEN";160;"50°40'";"07°00'";657.9;50.67;7
"ALHEIM-HEINEBACH";195;"51°03'";"09°39'";672.1;51.05;9.65
"ALLENDORF/EDER-OSTERFELD";378;"51°03'";"08°39'";876.0;51.05;8.65
"ALLERDORF";18;"53°02'";"09°11'";733.9;53.03;9.18
"ALLERINGERSLEBEN";135;"52°12'";"11°08'";564.3;52.2;11.13
"ALLERSBERG";385;"49°15'";"11°14'";750.9;49.25;11.23
"ALLRODE";458;"51°40'";"10°58'";709.5;51.67;10.97
"ALLSTEDT";140;"51°24'";"11°23'";487.8;51.4;11.38
"ALPERSTEDT";158;"51°05'";"11°03'";453.0;51.08;11.05
"ALSENZ";146;"49°43'";"07°49'";606.1;49.72;7.82
"ALSFELD-EIFA";300;"50°44'";"09°20'";651.5;50.73;9.33
"ALSFELD-LINGELBACH";382;"50°45'";"09°24'";702.7;50.75;9.4
"ALSFELD-REIBERTENROD";269;"50°46'";"09°15'";616.4;50.77;9.25
"ALT KRENZLIN-KRENZLINER";52;"53°18'";"11°18'";619.9;53.3;11.3
"ALT MADLITZ";62;"52°22'";"14°14'";560.2;52.37;14.23
"ALT RUPPIN";40;"52°56'";"12°51'";585.5;52.93;12.85
"ALT ZESCHDORF";50;"52°25'";"14°26'";532.7;52.42;14.43
"ALTBRANDSLEBEN";185;"52°04'";"11°14'";555.6;52.07;11.23
"ALTDOEBERN";85;"51°39'";"14°02'";553.0;51.65;14.03
"ALTDORF";423;"49°23'";"11°22'";851.9;49.38;11.37
"ALTENA I.W.";196;"51°17'";"07°41'";1186.3;51.28;7.68
"ALTENAHR";195;"50°31'";"06°59'";668.1;50.52;6.98
"ALTENAU (A)";460;"51°48'";"10°26'";1358.2;51.8;10.43
"ALTENAU (AKKST)";500;"51°47'";"10°26'";1252.2;51.78;10.43
"ALTENAU-BASTESIEDLUNG";635;"51°50'";"10°32'";1274.3;51.83;10.53
"ALTENBERG-KIPSDORF";550;"50°48'";"13°40'";925.5;50.8;13.67
"ALTENBERG-SCHELLERHAU";785;"50°46'";"13°40'";984.1;50.77;13.67
"ALTENBERGE";108;"52°03'";"07°29'";774.7;52.05;7.48
"ALTENBRAK (RAPPB.TALSP.)";430;"51°44'";"10°53'";674.8;51.73;10.88
"ALTENBRAK-WENDEFURTH";353;"51°44'";"10°55'";659.1;51.73;10.92
"ALTENDAMBACH";520;"50°33'";"10°43'";953.4;50.55;10.72
"ALTENDORF";391;"49°24'";"12°17'";683.1;49.4;12.28
"ALTENHAGEN-STARKOW";7;"54°16'";"12°45'";657.9;54.27;12.75
"ALTENHOF";50;"52°54'";"13°42'";636.9;52.9;13.7
"ALTENMEDINGEN-EDDELSTORF";61;"53°08'";"10°37'";675.7;53.13;10.62
"ALTENRODA-WIPPACH";205;"51°15'";"11°33'";524.2;51.25;11.55
"ALTENSTADT/WALDNAAB";400;"49°42'";"12°10'";728.7;49.7;12.17
"ALTENSTEIG-WART";594;"48°37'";"08°39'";932.7;48.62;8.65
"ALTENTHANN";518;"49°05'";"12°18'";742.0;49.08;12.3
"ALTENTREPTOW";30;"53°41'";"13°15'";560.2;53.68;13.25
"ALTERTHEIM-OBERALTERTHM.";300;"49°43'";"09°46'";689.6;49.72;9.77
"ALTGERINGSWALDE";290;"51°05'";"12°55'";691.1;51.08;12.92
"ALTGLASHUETTE";750;"49°46'";"12°23'";913.2;49.77;12.38
"ALTHENGSTETT-OTTENBRONN";530;"48°44'";"08°45'";836.4;48.73;8.75
"ALTKIRCHEN";232;"50°56'";"12°21'";624.5;50.93;12.35
"ALTLOHBERGHUETTE";825;"49°10'";"13°07'";1292.5;49.17;13.12
"ALTMANNSTEIN-LAIMERSTADT";430;"48°52'";"11°42'";690.6;48.87;11.7
"ALTMANNSTEIN-PONDORF";530;"48°56'";"11°34'";724.8;48.93;11.57
"ALTMERSLEBEN";35;"52°41'";"11°25'";548.1;52.68;11.42
"ALTMOERBITZ,TS SCHOEMB.";207;"50°59'";"12°34'";623.5;50.98;12.57
"ALTOMUENSTER-PIPINSRIED";500;"48°24'";"11°17'";864.3;48.4;11.28
"ALTOMUENSTER-WOLLOMOOS";505;"48°24'";"11°11'";880.4;48.4;11.18
"ALTREETZ";6;"52°45'";"14°10'";488.7;52.75;14.17
"ALTUSRIED-KRUGZELL";642;"47°47'";"10°15'";1202.0;47.78;10.25
"ALTUSRIED-MUTHMANNSHOFEN";736;"47°47'";"10°06'";1412.4;47.78;10.1
"ALTWIGSHAGEN";9;"53°43'";"13°50'";533.3;53.72;13.83
"ALVESLOHE";33;"53°48'";"09°54'";807.0;53.8;9.9
"ALZEY";215;"49°43'";"08°07'";585.6;49.72;8.12
"AMBERG-UNTERAMMERSRICHT";383;"49°28'";"11°51'";701.0;49.47;11.85
"AMELINGHAUSEN";70;"53°07'";"10°12'";766.1;53.12;10.2
"AMERDINGEN-BOLLSTADT";559;"48°45'";"10°30'";758.7;48.75;10.5
"AMESDORF-WARMSDORF";96;"51°46'";"11°34'";463.8;51.77;11.57
"AMMERLAND";630;"47°54'";"11°20'";1107.2;47.9;11.33
"AMOENEBURG-RUEDIGHEIM";210;"50°46'";"08°57'";629.6;50.77;8.95
"AMORBACH";181;"49°38'";"09°13'";812.5;49.63;9.22
"AMTSBERG-WEISSBACH";400;"50°44'";"13°01'";848.6;50.73;13.02
"ANDECHS-ERLING";682;"47°57'";"11°10'";1018.6;47.95;11.17
"ANDERNACH";62;"50°26'";"07°25'";619.2;50.43;7.42
"ANGER-OBERHOEGL";690;"47°48'";"12°54'";1318.7;47.8;12.9
"ANGER-STOISSBERG";830;"47°48'";"12°49'";1909.7;47.8;12.82
"ANGERMUENDE (WEWA)";54;"53°01'";"13°59'";532.1;53.02;13.98
"ANGERN";50;"52°21'";"11°44'";504.5;52.35;11.73
"ANGERSDORF";108;"51°28'";"11°54'";436.7;51.47;11.9
"ANKLAM";9;"53°50'";"13°41'";577.5;53.83;13.68
"ANKUM";62;"52°32'";"07°52'";822.9;52.53;7.87
"ANNABERG-BUCHHOLZ";630;"50°34'";"13°00'";834.2;50.57;13
"ANNABURG";76;"51°43'";"13°03'";571.8;51.72;13.05
"ANNATURM";395;"52°15'";"09°30'";887.0;52.25;9.5
"ANNWEILER";200;"49°12'";"07°58'";910.1;49.2;7.97
"ANSBACH (WST)";413;"49°17'";"10°34'";721.9;49.28;10.57
"ANSBACH-CLAFFHEIM";481;"49°14'";"10°35'";735.7;49.23;10.58
"APFELDORF";664;"47°53'";"10°56'";1147.7;47.88;10.93
"APOLDA";205;"51°01'";"11°30'";560.8;51.02;11.5
"ARENDSEE/ALTMARK, LUFTKU";33;"52°52'";"11°29'";566.1;52.87;11.48
"ARKONA (WEWA)";42;"54°40'";"13°26'";520.8;54.67;13.43
"ARNEBURG";55;"52°40'";"12°00'";515.8;52.67;12
"ARNSBERG";242;"51°22'";"08°04'";1028.4;51.37;8.07
"ARNSBERG-HOLZEN";265;"51°25'";"07°54'";932.1;51.42;7.9
"ARNSTADT";267;"50°51'";"10°58'";487.3;50.85;10.97
"ARNSTADT-DOSDORF";325;"50°47'";"10°54'";599.2;50.78;10.9
"ARNSTEIN-ALTBESSINGEN";265;"50°01'";"09°58'";643.7;50.02;9.97
"ARNSTEIN-MARBACH";202;"49°58'";"09°56'";616.7;49.97;9.93
"ARNSTORF";385;"48°33'";"12°48'";738.4;48.55;12.8
"AROLSEN-LANDAU";265;"51°20'";"09°04'";598.5;51.33;9.07
"AROLSEN-NEU-BERICH";232;"51°23'";"09°04'";740.1;51.38;9.07
"AROLSEN-SCHMILLINGHAUSEN";248;"51°26'";"09°01'";670.4;51.43;9.02
"ARTERN (WEWA)";164;"51°22'";"11°17'";417.1;51.37;11.28
"ARTLENBURG";6;"53°22'";"10°28'";673.6;53.37;10.47
"ASBACH";255;"50°39'";"07°26'";951.9;50.65;7.43
"ASCHAFFENBURG";110;"49°58'";"09°06'";715.4;49.97;9.1
"ASCHAU";620;"47°45'";"12°19'";1993.7;47.75;12.32
"ASCHAU-SACHRANG";740;"47°41'";"12°16'";1855.4;47.68;12.27
"ASCHAU-STEIN";680;"47°43'";"12°17'";2187.3;47.72;12.28
"ASCHENDORF";3;"53°03'";"07°20'";785.6;53.05;7.33
"ASCHERSLEBEN";105;"51°45'";"11°28'";462.2;51.75;11.47
"ASELEBEN";100;"51°29'";"11°40'";466.2;51.48;11.67
"ATHENSTEDT";182;"51°56'";"10°54'";533.0;51.93;10.9
"ATTENDORN";307;"51°07'";"07°54'";1082.4;51.12;7.9
"ATTENDORN(LISTERTALSP.)";340;"51°06'";"07°50'";1258.3;51.1;7.83
"ATTENDORN-NEULISTERNOHL";311;"51°06'";"07°52'";1111.8;51.1;7.87
"ATTENKAM";672;"47°52'";"11°21'";1109.5;47.87;11.35
"ATZENDORF";83;"51°55'";"11°35'";476.7;51.92;11.58
"ATZENDORF (MARBESCHACHT)";77;"51°55'";"11°34'";399.2;51.92;11.57
"AUE (AWST)";391;"50°35'";"12°42'";791.6;50.58;12.7
"AUERBACH/OPF.";418;"49°42'";"11°37'";973.6;49.7;11.62
"AUERBERG";1045;"47°44'";"10°44'";1352.4;47.73;10.73
"AUERSTEDT";150;"51°06'";"11°35'";538.5;51.1;11.58
"AUFKIRCHEN";480;"48°18'";"11°51'";767.3;48.3;11.85
"AUFSESS-HOCHSTAHL";432;"49°53'";"11°16'";854.5;49.88;11.27
"AUGSBURG (HOCHABLASS)";486;"48°20'";"10°56'";834.0;48.33;10.93
"AUGSBURG (KLAERANLAGE)";470;"48°24'";"10°54'";795.7;48.4;10.9
"AUGSBURG (ST.STEPHAN)";490;"48°22'";"10°53'";814.2;48.37;10.88
"AUGSBURG-MUEHLH. (WEWA)";462;"48°25'";"10°56'";749.7;48.42;10.93
"AUGSDORF";190;"51°36'";"11°34'";497.5;51.6;11.57
"AUGUSTDORF";163;"51°53'";"08°44'";919.6;51.88;8.73
"AUGUSTENBERG";153;"49°00'";"08°29'";737.6;49;8.48
"AUGUSTUSBURG";451;"50°48'";"13°06'";809.1;50.8;13.1
"AULENDORF-SPIEGLER";560;"47°58'";"09°40'";902.0;47.97;9.67
"AURACH-WEINBERG";510;"49°14'";"10°21'";789.5;49.23;10.35
"AURICH";4;"53°27'";"07°28'";823.6;53.45;7.47
"AURICH-DIETRICHSFELD";10;"53°32'";"07°31'";772.3;53.53;7.52
"AURICH-WIESENS";7;"53°27'";"07°32'";828.4;53.45;7.53
"AYING-KLEINHELFENDORF";641;"47°56'";"11°48'";1237.9;47.93;11.8
"BAALBERGE";67;"51°45'";"11°48'";459.8;51.75;11.8
"BABENHAUSEN-HARRESHAUSEN";122;"49°58'";"08°59'";671.8;49.97;8.98
"BABENHAUSEN-HERGERSHAUS.";131;"49°57'";"08°53'";693.3;49.95;8.88
"BACHHAUPTEN";640;"47°59'";"09°26'";791.8;47.98;9.43
"BACKNANG";291;"48°57'";"09°26'";893.1;48.95;9.43
"BADBERGEN";30;"52°38'";"07°58'";727.2;52.63;7.97
"BADDECKENSTEDT-WARTJENS.";103;"52°06'";"10°11'";670.2;52.1;10.18
"BADEN-BADEN-GEROLDSAU";240;"48°43'";"08°14'";1167.6;48.72;8.23
"BADERSLEBEN";153;"51°59'";"10°53'";535.7;51.98;10.88
"BAERNAU";610;"49°48'";"12°26'";845.9;49.8;12.43
"BAHNSDORF,NL";114;"51°34'";"14°07'";545.0;51.57;14.12
"BAHRENDORF";87;"51°59'";"11°33'";481.3;51.98;11.55
"BAHRETAL-OTTENDORF";273;"50°53'";"13°55'";630.3;50.88;13.92
"BAIERN-KLEINROHRSDORF";552;"47°59'";"11°55'";1072.2;47.98;11.92
"BAIERSBRONN-MITTELTAL";600;"48°30'";"08°19'";1912.4;48.5;8.32
"BAIERSBRONN-OBERTAL";622;"48°31'";"08°16'";1523.7;48.52;8.27
"BAIERSBRONN-RUHESTEIN";916;"48°33'";"08°13'";2006.0;48.55;8.22
"BAIERSBRONN-SCHOENEGR.";559;"48°34'";"08°24'";1486.9;48.57;8.4
"BAIERSDORF-HAGENAU";285;"49°39'";"11°03'";699.4;49.65;11.05
"BALDERSCHWANG";1037;"47°27'";"10°06'";2450.0;47.45;10.1
"BALGHEIM";710;"48°04'";"08°46'";856.7;48.07;8.77
"BALGSTAEDT";110;"51°12'";"11°43'";517.0;51.2;11.72
"BALINGEN-HESELWANGEN";571;"48°16'";"08°53'";904.1;48.27;8.88
"BALLENSTEDT";213;"51°43'";"11°14'";555.7;51.72;11.23
"BALTMANNSWEILER-HOHENG.";457;"48°45'";"09°27'";900.4;48.75;9.45
"BAMBERG (A.TAENNIG)";244;"49°52'";"10°56'";689.0;49.87;10.93
"BAMBERG (WEWA)";239;"49°52'";"10°54'";634.0;49.87;10.9
"BAMMENTAL";131;"49°21'";"08°47'";928.5;49.35;8.78
"BARBY/ELBE";52;"51°58'";"11°52'";470.1;51.97;11.87
