"ALIASNAME";"Höhe ü NN";"Breite";"Länge";"Temp";"Breite";"Lange"
"AACHEN (WEWA)";205;"50°47'";"06°05'";9.7;50.78;6.08
"AHRENSBURG-WULFSDORF";46;"53°39'";"10°12'";8.2;53.65;10.2
"ALBSTADT-EBINGEN";712;"48°12'";"09°02'";6.4;48.2;9.03
"ALBSTADT-LAUTLINGEN";698;"48°12'";"08°57'";7.3;48.2;8.95
"ALBSTADT-ONSTMETTINGEN";794;"48°16'";"09°00'";6.4;48.27;9
"ALDERSBACH";325;"48°35'";"13°05'";8.1;48.58;13.08
"ALFHAUSEN";65;"52°29'";"07°54'";8.9;52.48;7.9
"ALSFELD-EIFA";300;"50°44'";"09°20'";7.7;50.73;9.33
"ALTENAU (AKKST)";500;"51°47'";"10°26'";6.2;51.78;10.43
"ALTENBURG";213;"50°59'";"12°26'";8.8;50.98;12.43
"ALTOMUENSTER-PIPINSRIED";500;"48°24'";"11°17'";7.5;48.4;11.28
"ALZEY";215;"49°43'";"08°07'";9.4;49.72;8.12
"AMBERG-UNTERAMMERSRICHT";383;"49°28'";"11°51'";7.8;49.47;11.85
"ANGERMUENDE (WEWA)";54;"53°01'";"13°59'";8.3;53.02;13.98
"ANNABERG-BUCHHOLZ";630;"50°34'";"13°00'";6.6;50.57;13
"ANNATURM";395;"52°15'";"09°30'";6.8;52.25;9.5
"ANSBACH (WST)";413;"49°17'";"10°34'";8.3;49.28;10.57
"ANSBACH-CLAFFHEIM";481;"49°14'";"10°35'";7.5;49.23;10.58
"ARKONA (WEWA)";42;"54°40'";"13°26'";7.9;54.67;13.43
"ARNSBERG";242;"51°22'";"08°04'";8.4;51.37;8.07
"ARNSTEIN-MUEDESHEIM";220;"49°58'";"09°54'";8.7;49.97;9.9
"AROLSEN-NEU-BERICH";232;"51°23'";"09°04'";7.8;51.38;9.07
"ARTERN (WEWA)";164;"51°22'";"11°17'";8.5;51.37;11.28
"ASSLAR-KL.ALTENSTAEDTEN";200;"50°34'";"08°28'";8.4;50.57;8.47
"ATTENKAM";672;"47°52'";"11°21'";7.5;47.87;11.35
"AU/HALLERTAU-GUENZENHSN.";483;"48°33'";"11°42'";7.8;48.55;11.7
"AUE (AWST)";391;"50°35'";"12°42'";8.0;50.58;12.7
"AUGSBURG (ST.STEPHAN)";490;"48°22'";"10°53'";8.5;48.37;10.88
"AUGSBURG-MUEHLH. (WEWA)";462;"48°25'";"10°56'";8.0;48.42;10.93
"AULENDORF-SPIEGLER";560;"47°58'";"09°40'";7.6;47.97;9.67
